Region,ID,CENTRO,PROVINCIA,LAT,LONG,Fecha Reporte,Hora Reporte,Camas Disponibles,Casos Ingresados Sospechosos,Casos Ingresados Confirmados,Casos Ingresados,% Disponibilidad,Fallecidos,Ingresados 
R0,9, DR ROBERT REID CABRAL,DISTRITO NACIONAL,18.452469,-69.923584,28/10/2023,7:59:06 AM,0,73,9,82,0.00%,0,31
R0,11, SANTO CRISTO DE LOS MILAGROS,MONTE PLATA,18.7545,-69.631,28/10/2023,7:55:30 AM,0,4,0,4,0.00%,0,0
R0,13, YAMASA,MONTE PLATA,18.77,-70.02,28/10/2023,7:05:08 AM,0,8,0,8,0.00%,0,11
R0,14, BOCA CHICA,SANTO DOMINGO,18.434952,-69.633935,28/10/2023,8:40:08 AM,0,13,2,15,0.00%,0,3
R0,17, RODOLFO DE LA CRUZ LORA,SANTO DOMINGO,18.571946,-70.10317,28/10/2023,7:52:33 AM,1,11,0,11,8.33%,0,5
R0,18, ELVIRA ECHAVARRIA VIUDA CASTILLO,SANTO DOMINGO,18.553232,-69.708821,28/10/2023,9:14:57 AM,2,0,0,0,100.00%,0,0
R0,20, SAN LORENZO DE LOS MINA,SANTO DOMINGO,18.5093831,-69.8683043,28/10/2023,6:19:25 AM,0,10,0,10,0.00%,0,14
R0,22, DR JACINTO IGNACIO MANON,DISTRITO NACIONAL,18.506827,-69.989,28/10/2023,8:21:06 AM,0,10,2,12,0.00%,0,5
R0,31, DR MARCELINO VELEZ SANTANA,SANTO DOMINGO,18.473463,-69.971416,28/10/2023,10:34:54 AM,0,33,0,33,0.00%,0,10
R0,34, DR VINICIO CALVENTI,SANTO DOMINGO,18.526,-70.0535,28/10/2023,8:01:13 AM,0,14,0,14,0.00%,0,6
R0,36, ENGOMBE,SANTO DOMINGO,18.460937,-69.995418,28/10/2023,7:27:19 AM,0,20,0,20,0.00%,0,4
R0,1366, EL ALMIRANTE,SANTO DOMINGO,18.519908,-69.817726,28/10/2023,6:13:03 AM,0,18,6,24,0.00%,0,6
